GrammarPoint,TargetSentence,ScrambledParts,DistractorParts,CapitalizationHint,PunctuationHint,Explanation
Affirmative_Sentence,"I am reading a book now.","I|am|reading|a|book|now.","is|read",TRUE,TRUE,"現在進行式結構為 am/is/are + V-ing，now 放句尾。"
Affirmative_Sentence,"They are playing soccer.","They|are|playing|soccer.","is|play",TRUE,TRUE,"主詞 They 搭配 are + V-ing。"
Negative_Sentence,"She isn't sleeping.","She|isn't|sleeping.","aren't|sleep",TRUE,TRUE,"現在進行式的否定為 Be 動詞 + not + V-ing。"
Negative_Sentence,"We are not watching TV.","We|are|not|watching|TV.","is|watch",TRUE,TRUE,"主詞 We 搭配 are not + V-ing。"
Yes_No_Question,"Are you listening to music?","Are|you|listening|to|music|?","Do|listen",TRUE,FALSE,"進行式疑問句將 Are 移至句首，動詞保持 V-ing。"
Yes_No_Question,"Is he doing his homework?","Is|he|doing|his|homework|?","Does|do",TRUE,FALSE,"進行式疑問句將 Is 移至句首，動詞保持 V-ing。"
Wh_Question,"What are you doing?","What|are|you|doing|?","do|is",TRUE,FALSE,"疑問詞 What 放句首，接著放 Be 動詞 are、主詞 you 與 V-ing。"
Spelling_Rule_E,"She is making a cake.","She|is|making|a|cake.","make|makes",TRUE,TRUE,"make 去 e 加 ing 變成 making。"
Spelling_Rule_Double,"The boy is swimming.","The|boy|is|swimming.","swim|swims",TRUE,TRUE,"swim 重複字尾 m 加 ing 變成 swimming。"
Time_Expression_Look,"Look! The dog is running.","Look|!|The|dog|is|running.","run|are",TRUE,TRUE,"Look! 提示動作正在進行，主詞 The dog 搭配 is running。"
Affirmative_Sentence,"He is writing a letter now.","He|is|writing|a|letter|now.","are|writes",TRUE,TRUE,"He 搭配 is + V-ing，now 放句尾。"
Affirmative_Sentence,"We are watching a movie.","We|are|watching|a|movie.","is|watch",TRUE,TRUE,"We 搭配 are + V-ing。"
Negative_Sentence,"I am not playing games.","I|am|not|playing|games.","isn't|play",TRUE,TRUE,"I 搭配 am not + V-ing。"
Negative_Sentence,"She isn't eating lunch.","She|isn't|eating|lunch.","aren't|eats",TRUE,TRUE,"She 搭配 isn't + V-ing。"
Yes_No_Question,"Is he sleeping?","Is|he|sleeping|?","Does|sleeps",TRUE,FALSE,"Is 移至句首，動詞保持 V-ing。"
Yes_No_Question,"Are they reading books?","Are|they|reading|books|?","Do|read",TRUE,FALSE,"Are 移至句首，動詞保持 V-ing。"
Wh_Question,"Why are you crying?","Why|are|you|crying|?","do|cries",TRUE,FALSE,"疑問詞 Why 放句首，接著放 are、主詞與 V-ing。"
Spelling_Rule_E,"They are taking pictures.","They|are|taking|pictures.","take|takes",TRUE,TRUE,"take 去 e 加 ing 變成 taking。"
Spelling_Rule_Double,"She is sitting down.","She|is|sitting|down.","sit|sits",TRUE,TRUE,"sit 重複字尾 t 加 ing 變成 sitting。"
Time_Expression_Listen,"Listen! The bird is singing.","Listen|!|The|bird|is|singing.","sing|are",TRUE,TRUE,"Listen! 提示正在進行，The bird 搭配 is singing。"
Affirmative_Sentence,"I am studying English now.","I|am|studying|English|now.","is|study",TRUE,TRUE,"I 搭配 am + V-ing。"
Negative_Sentence,"The teacher isn't smiling.","The|teacher|isn't|smiling.","aren't|smiles",TRUE,TRUE,"The teacher 搭配 isn't + V-ing。"
Spelling_Rule_Double,"He is running fast.","He|is|running|fast.","run|runs",TRUE,TRUE,"run 重複字尾 n 加 ing 變成 running。"
Spelling_Rule_E,"We are riding a bike.","We|are|riding|a|bike.","ride|rides",TRUE,TRUE,"ride 去 e 加 ing 變成 riding。"
Yes_No_Question,"Are they coming?","Are|they|coming|?","Do|come",TRUE,FALSE,"Are 移至句首，come 去 e 加 ing。"
Wh_Question,"Where is she going?","Where|is|she|going|?","does|goes",TRUE,FALSE,"Where 放句首，接著放 is、she 與 going。"
Time_Expression_Look,"Look! He is walking.","Look|!|He|is|walking.","walk|are",TRUE,TRUE,"Look! 提示正在進行，He 搭配 is walking。"
Affirmative_Sentence,"The sun is shining today.","The|sun|is|shining|today.","are|shines",TRUE,TRUE,"The sun 搭配 is shining。"
Negative_Sentence,"We aren't talking.","We|aren't|talking.","isn't|talk",TRUE,TRUE,"We 搭配 aren't + V-ing。"
Affirmative_Sentence,"The dog is sleeping.","The|dog|is|sleeping.","are|sleeps",TRUE,TRUE,"The dog 搭配 is sleeping。"
