GrammarPoint,TargetSentence,ScrambledParts,DistractorParts,CapitalizationHint,PunctuationHint,Explanation
Affirmative_Will,"I will go to the park.","I|will|go|to|the|park.","am|going",TRUE,TRUE,"使用 will 表達未來將做的事，後接原形動詞 go。"
Affirmative_BeGoingTo,"She is going to read a book.","She|is|going|to|read|a|book.","will|reads",TRUE,TRUE,"使用 is going to 表達預定計畫，後接原形動詞 read。"
Negative_Will,"They won't come to the party.","They|won't|come|to|the|party.","don't|coming",TRUE,TRUE,"will 的否定為 won't，後接原形動詞。"
Negative_BeGoingTo,"He isn't going to buy it.","He|isn't|going|to|buy|it.","doesn't|bought",TRUE,TRUE,"He 搭配 isn't going to，後接原形動詞 buy。"
Yes_No_Question_Will,"Will you help me?","Will|you|help|me|?","Do|helps",TRUE,FALSE,"will 移至句首形成疑問句，後接原形動詞。"
Yes_No_Question_BeGoingTo,"Are we going to play soccer?","Are|we|going|to|play|soccer|?","Do|playing",TRUE,FALSE,"Are 移至句首，搭配 going to 和原形動詞 play。"
Wh_Question_Will,"What will you do tomorrow?","What|will|you|do|tomorrow|?","are|did",TRUE,FALSE,"疑問詞 What 放句首，接著放助動詞 will、主詞 you 與原形動詞 do。"
Time_Expression_Next,"We will travel next year.","We|will|travel|next|year.","travels|last",TRUE,TRUE,"未來時間 next year 放於句尾。"
Be_Verb_Future,"It will be sunny tomorrow.","It|will|be|sunny|tomorrow.","is|was",TRUE,TRUE,"描述未來天氣狀態，使用 will + 原形 be。"
Affirmative_BeGoingTo,"I am going to make dinner.","I|am|going|to|make|dinner.","will|makes",TRUE,TRUE,"第一人稱 I 搭配 am going to 表達計畫做晚餐。"
Affirmative_Will,"I will open the door.","I|will|open|the|door.","am|opening",TRUE,TRUE,"will 後接原形動詞 open。"
Affirmative_BeGoingTo,"They are going to buy a car.","They|are|going|to|buy|a|car.","will|buys",TRUE,TRUE,"預定計畫使用 are going to + 原形動詞。"
Negative_Will,"She won't be late.","She|won't|be|late.","isn't|was",TRUE,TRUE,"will 否定 won't 後接原形動詞 be。"
Negative_BeGoingTo,"He isn't going to play.","He|isn't|going|to|play.","doesn't|played",TRUE,TRUE,"主詞 He 搭配 isn't going to + 原形動詞。"
Yes_No_Question_Will,"Will it rain tomorrow?","Will|it|rain|tomorrow|?","Does|raining",TRUE,FALSE,"Will 移至句首形成疑問句。"
Yes_No_Question_BeGoingTo,"Is she going to study?","Is|she|going|to|study|?","Does|studying",TRUE,FALSE,"Is 移至句首，搭配 going to + 原形動詞。"
Wh_Question_Will,"Where will they go?","Where|will|they|go|?","are|went",TRUE,FALSE,"疑問詞 Where 放句首，接著放 will 和主詞。"
Time_Expression_Next,"He will arrive next week.","He|will|arrive|next|week.","arrives|last",TRUE,TRUE,"未來時間 next week 放句尾。"
Be_Verb_Future,"The test will be hard.","The|test|will|be|hard.","is|was",TRUE,TRUE,"描述未來的狀態，使用 will + be。"
Affirmative_BeGoingTo,"I am going to start a diet.","I|am|going|to|start|a|diet.","will|starts",TRUE,TRUE,"表達自身計畫，使用 am going to + 原形動詞。"
Affirmative_Will,"We will win the game.","We|will|win|the|game.","are|winning",TRUE,TRUE,"使用 will 表達強烈的信念。"
Negative_Will,"I won't tell anyone.","I|won't|tell|anyone.","don't|telling",TRUE,TRUE,"承諾的否定使用 won't。"
Negative_BeGoingTo,"They aren't going to watch TV.","They|aren't|going|to|watch|TV.","don't|watched",TRUE,TRUE,"主詞 They 搭配 aren't going to。"
Yes_No_Question_Will,"Will you marry me?","Will|you|marry|me|?","Do|marries",TRUE,FALSE,"詢問意願使用 Will you..."
Auxiliary_Verb_Return,"She will become a doctor.","She|will|become|a|doctor.","becomes|became",TRUE,TRUE,"will 後接原形動詞 become。"
Yes_No_Question_BeGoingTo,"Are you going to eat that?","Are|you|going|to|eat|that|?","Do|ate",TRUE,FALSE,"Are 移至句首，詢問預定動作。"
Time_Expression_Later,"I will see you later.","I|will|see|you|later.","saw|ago",TRUE,TRUE,"later 表示稍後的時間。"
Subjective_Prediction,"I think it will snow.","I|think|it|will|snow.","is|snowing",TRUE,TRUE,"主觀預測使用 will。"
Be_Verb_Future,"They will be here soon.","They|will|be|here|soon.","are|was",TRUE,TRUE,"will + be 表示未來狀態。"
Affirmative_BeGoingTo,"We are going to visit him.","We|are|going|to|visit|him.","will|visited",TRUE,TRUE,"預定計畫使用 are going to。"
