Scope,Question_Type,Type,Cognitive_Level,Target_Sentence_Rule,Question_Template,Distractor_Rule,Question_Text,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,,
第一段 (Introduction),故事背景題 (Setting),MC,Literal (字面擷取),尋找第一段中描述地點、環境的句子。,Where does the story happen? / Where is [Character]?,使用文章中出現過的其他地點，或常見但未提及的地點。,Where does the story happen?,At a school,At a farm,In a city park,At a hospital,At a farm,Paragraph 1 says 'Tom was visiting his grandpa''s farm.',,
第一段 (Introduction),人物辨識題 (Characters),MC,Literal (字面擷取),尋找第一段中介紹人物身分、職業或關係的句子。,Who is [Character]?,將文章中其他人物的關係或職業張冠李戴。,Who is Mrs Green?,Emma's teacher,Emma's mother,Emma's aunt,Emma's sister,Emma's teacher,"Paragraph 1 says 'Mrs Green, Emma's teacher, walked into the classroom.'",,
第一段 (Introduction),時間場景題 (Time & Place),MC,Literal (字面擷取),尋找第一段中描述時間、天氣或季節的句子。,When did the story take place? / What time of day was it?,使用不符合上下文的時間點（如早上改成晚上）。,When did the story take place?,In the morning,At night,In the afternoon,At noon,In the morning,Paragraph 1 says 'The sun was just coming up.',,
第一段 (Introduction),人物辨識題 (Characters),MC,Literal (字面擷取),尋找第一段中列出主要參與者的句子。,Who are the characters in the story?,混入未出場的角色或只出現過一次的配角。,Who are the characters in the story?,A boy and his dog,Two sisters,A teacher and students,A family,Two sisters,The text introduces Mary and her sister Jane.,,
中間段落 (Body Paragraphs),具體資訊題 (Specific Information - What),MC,Literal (字面擷取),尋找包含具體事物、喜好、活動的細節句。,What is [Character]'s favourite [Noun]? / What did [Character] [Verb]?,使用屬於其他角色的事物，或文章中出現過的其他名詞。,What is the boy's favourite sport?,Swimming,Basketball,Tennis,Football,Basketball,Paragraph 2 says his favourite sport is basketball.,,
中間段落 (Body Paragraphs),具體資訊題 (Specific Information - How),MC,Literal (字面擷取),尋找包含時間長度、數量、程度的細節句。,How many [Noun] did [Character] [Verb]? / How long did it take?,竄改文章中的數字或時間長度。,How many hours did the trip take?,Four hours,Two hours,Three hours,Five hours,Three hours,The text says the journey took three hours.,,
中間段落 (Body Paragraphs),具體資訊題 (Specific Information - Where),MC,Literal (字面擷取),尋找中間段落描述角色移動目的地或物品位置的句子。,Where did [Character] go? / Where is the [Noun]?,使用文章中提到的其他地點進行混淆。,Where did Tom and his dad go last weekend?,To the beach,To the library,To the cinema,To the park,To the cinema,Paragraph 2 says 'They went to the cinema to watch a movie.',,
中間段落 (Body Paragraphs),是非細節題 (True/False Detail),MC,Integrative (統整理解),鎖定特定段落，找出3個正確事實與1個錯誤事實。,Which sentence is NOT true about [Subject]?,錯誤選項必須使用文章中的單字重新組合，使其語意與文章相反。,Which sentence is NOT true?,Tom likes pizza.,Tom has a sister.,Tom can swim.,Tom is a student.,Tom has a sister.,"The text says Tom is an only child, so he doesn't have a sister.",,
中間段落 (Body Paragraphs),是非細節題 (True/False Detail),MC,Integrative (統整理解),鎖定特定事物，找出1個正確事實與3個錯誤事實。,Which of the following is true about [Subject]?,錯誤選項包含未提及的特徵或相反的描述。,Which of the following is true about the spaceship?,It was made of metal.,It was painted green.,It was very small.,It was broken.,It was made of metal.,The text describes the spaceship as shiny and made of metal.,,
中間段落 (Body Paragraphs),代名詞指代題 (Pronoun Reference),MC,Inferential (推論理解),"尋找 it, they, them 等代名詞，且前一句有明確指代對象。",In paragraph [X], what does '[Pronoun]' refer to?,使用該代名詞附近出現的其他名詞（同性別或同單複數）。,"In paragraph 2, what does 'it' refer to?",The new bike,The broken window,The heavy bag,The old car,The new bike,The sentence before says 'He got a new bike. It was red.',
中間段落 (Body Paragraphs),情緒推論題 (Emotion Inference),MC,Inferential (推論理解),尋找描述角色表情、動作或遇到特殊事件的句子。,How does [Character] probably feel at the end/when [Event]?,使用相反的情緒，或該事件中其他角色的情緒。,How does Jack probably feel at the end?,Excited,Worried,Angry,Bored,Excited,"He is smiling and jumping, which means he is excited.",,
中間段落 (Body Paragraphs),原因推論題 (Reason Inference),MC,Inferential (推論理解),"尋找角色狀態（如tired, happy）並推導其前因。",Why did [Character] feel [Adjective]?,使用符合常理但文章未提及的原因。,Why did the character feel tired?,Because he ran fast,Because he slept late,Because he ate too much,Because he was sick,Because he ran fast,He had just finished a long race.,,
中間段落 (Body Paragraphs),人格特質推論題 (Character Trait Inference),MC,Inferential (推論理解),尋找角色具體助人、調皮或勇敢的行為句子。,What does [Character]'s action tell us about him/her?,使用與該行為無關的特質，或相反的特質。,What does the boy's action tell us about him?,He is kind,He is lazy,He is angry,He is shy,He is kind,He helped the old lady cross the street.,,
中間段落 (Body Paragraphs),行為推論題 (Action Inference),MC,Inferential (推論理解),"尋找角色特殊行為（如hide, run away）並推導原因。",Why did [Character] [Action]?,使用字面上合理但在故事中不成立的原因。,Why did the girl hide?,She was playing a game,She was scared,She was tired,She was cold,She was playing a game,The text mentions they were playing hide-and-seek.,,
中間段落 (Body Paragraphs),因果關係題 (Cause and Effect),MC,Inferential (推論理解),尋找某個動作導致另一個角色反應的句子。,How did [Character A]'s [Action] affect [Character B]?,描述相反的反應或無關的結果。,How did the boy's shouting affect the baby?,It made the baby cry,It made the baby laugh,It made the baby sleep,It made the baby eat,It made the baby cry,The loud noise woke the baby up and made it cry.,,
中間段落 (Body Paragraphs),因果關係題 (Cause and Effect),MC,Inferential (推論理解),"尋找帶有 because, so 或隱含因果邏輯的句子。",Why was the [Noun] [Adjective]? / Why did [Event] happen?,使用文章中其他事件的原因進行混淆。,Why was the shop closed?,It was Sunday,It was too hot,The owner was ill,It was late,It was Sunday,Paragraph 3 says 'The shop was closed because it was Sunday.',,
