GrammarPoint,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,DistractorLogic,Explanation
WHQA_How_Often,"___ do you play basketball? Twice a week.",How long,How often,How much,How far,B,How often 與 How long 混淆,Twice a week 是「頻率」，問多常用 How often + do/does + 主詞 + 原形動詞。How long 問「多久」。
WHQA_How_Often,"How often ___ you at the gym? About three times a week.",do,are,is,did,B,How often + Be 問「多常在某地」,問「多常在某地／狀態」：How often are you at …? 主詞 you 搭配 are。
WHQA_How_Often,"How often was he sick last month? He was sick ___.",twice,for two hours,very,on Monday,A,頻率答句需有次數或頻率,How often 問頻率，答 twice（兩次）或次數片語。for two hours 是時長（How long）；very 只有程度沒有頻率。
WHQA_How_Often,"I ___ go swimming on weekends.",usually go,go usually,usually goes,go usually,A,頻率副詞位置,頻率副詞 usually 放在一般動詞前：I usually go …。不可說 I play usually 或 usually goes（主詞 I）。
WHQA_How_Often,"They visit their grandparents ___.",once a month,once month,one time a month,a month once,A,次數片語格式,once a month（每月一次）是標準次數片語，常放句尾。once month 少 a；one time a month 不自然。
WHQA_How_Often,"___ often does she practice piano? Every day.",How,What,How often,How long,C,疑問詞片語完整性,問「多常練琴」用 How often。How 單獨不完整；How long 問多久；What 問什麼。
WHQA_How_Often,"How often do you eat out? ___.",Two hours,Once or twice a week,Very hungry,Ten kilometers,B,How often 答頻率非時長或程度,How often 要答頻率（Once or twice a week）。Two hours 是 How long；Ten kilometers 是距離；Very hungry 是狀態不是頻率。
WHQA_How_Often,"How often ___ he late for class?",is,are,do,does,A,How often + Be + 形容詞,問「多常遲到」：How often is he late …? 主詞 he 用 is。
WHQA_How_Often,"She is ___ at home on weekends.",usually,usual,usual go,go usually,A,頻率副詞在 Be 後,Be 動詞後接頻率副詞：She is usually at home。usual 是形容詞；go usually 結構錯。
WHQA_How_Often,"How often do you brush your teeth? ___.",Three times a day,For three minutes,Very clean,Since morning,A,頻率答次數片語,How often 答 Three times a day。For three minutes 是 How long。
WHQA_How_Often,"___ do you watch TV? Almost every night.",How long,How often,How much,How far,B,How often 與 How long,Almost every night 是頻率，用 How often do you watch TV?
WHQA_How_Often,"We go hiking ___ a year.",one time,once,two time,one,A,once a year 次數片語,每年一次：once a year。one time a year 不自然；two time 缺 s。
WHQA_How_Often,"How often ___ they clean their room?",do,does,is,are,A,複數主詞用 do,主詞 they 用 How often do they clean …?
WHQA_How_Often,"He ___ exercises before breakfast.",always exercise,exercises always,always exercises,exercise always,C,頻率副詞在一般動詞前,頻率副詞 always 在一般動詞前：He always exercises。always exercise 動詞未加 s。
WHQA_How_Often,"How often was she at the hospital last year? ___.",Five times,Five hours,Very sick,Since May,A,頻率答次數,How often 答 Five times。Five hours 是時長。
WHQA_How_Often,"I play soccer ___ week.",two a,twice a,two time,twice,A,twice a week 固定說法,每週兩次：twice a week。two a week 錯誤。
WHQA_How_Often,"___ often are you online after 10 p.m.?",How,What,How long,How much,A,How often 完整疑問詞,問「多常上線」用 How often are you online …?
WHQA_How_Often,"How often do your parents travel abroad? ___.",Once every two years,Two years,Very often trip,In summer,A,頻率片語,Once every two years 表頻率。Two years 是時長；In summer 是時間點。
WHQA_How_Often,"They are ___ tired after work.",often,often are,are often tired,often is,C,Be 後頻率副詞,They are often tired：頻率副詞 often 在 Be 後、形容詞前。
WHQA_How_Often,"How often ___ you call your grandma?",do,does,did,is,A,現在習慣用 do,問現在習慣：How often do you call …? 主詞 you 用 do。
WHQA_How_Often,"___ long do you go jogging? Three times a week.",How,What,How often,How much,C,答句為頻率則用 How often,答 Three times a week 是頻率，問句應為 How often，不是 How long。
WHQA_How_Long,"How long ___ the movie? It's two hours.",is,are,does,did,A,How long + Be 問持續時間,問電影「有多長」：How long is the movie? 主詞 the movie 用 is。
WHQA_How_Long,"How long ___ you study last night? About four hours.",do,did,does,are,B,did 後接原形動詞,問「昨晚讀了多久」：How long did you study …? did 後面用原形 study，不可寫 stayed。
WHQA_How_Long,"How long does it take ___ cook noodles?",for,to,at,in,B,How long does it take to + 原形,問「做某事要花多久」：How long does it take to + 原形動詞？不可漏 to 或寫 to cooking。
