GrammarPoint,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,DistractorLogic,Explanation
Past_Simple_Usage,"I ___ to the park yesterday.",go,goes,went,going,C,動詞過去式變化,"yesterday 表示過去的時間，go 的不規則過去式為 went。"
Be_Verb_Past,"She ___ very tired last night.",is,was,were,be,B,Be動詞過去式,"主詞 She 為單數且時間為 last night，使用 Be 動詞過去式 was。"
Past_Simple_Negative,"They ___ play tennis last weekend.",don't,didn't,doesn't,aren't,B,過去式否定句助動詞,"過去式的否定句需使用助動詞 didn't。"
Auxiliary_Verb_Return,"Did he ___ the window?",broke,breaks,break,breaking,C,助動詞後接原形,"助動詞 Did 出現後，後方的動詞必須回歸原形 break。"
Regular_Verb_Spelling,"We ___ English for two hours yesterday.",study,studyed,studied,studying,C,規則動詞過去式拼字,"study 字尾為子音+y，過去式需去 y 加 ied 變成 studied。"
Be_Verb_Past_Plural,"You ___ late for school this morning.",was,were,are,is,B,Be動詞過去式複數,"主詞 You 的 Be 動詞過去式為 were。"
Yes_No_Question_Past,"___ you see the movie last night?",Do,Does,Did,Were,C,過去式疑問句助動詞,"過去式一般動詞疑問句，句首需使用助動詞 Did。"
Irregular_Verb,"He ___ a new car last month.",buy,buys,buyed,bought,D,不規則過去式,"buy 的不規則過去式為 bought。"
Past_Simple_Time,"I visited my grandparents two days ___.",ago,before,later,last,A,過去式時間副詞搭配,"表示「(一段時間) 之前」的過去式時間副詞需使用 ago。"
Irregular_Verb,"They ___ a great time at the party.",have,has,had,having,C,have的過去式,"have 的不規則過去式為 had。"
Past_Simple_Usage,"She ___ a letter to her friend yesterday.",write,writes,wrote,writing,C,不規則過去式,"write 的不規則過去式為 wrote。"
Be_Verb_Past,"The weather ___ terrible last weekend.",is,was,were,be,B,Be動詞過去式單數,"The weather 是單數，過去式使用 was。"
Past_Simple_Negative,"He ___ watch the basketball game last night.",don't,didn't,wasn't,doesn't,B,過去式否定助動詞,"過去式一般動詞否定需使用 didn't。"
Auxiliary_Verb_Return,"Did they ___ the museum?",visited,visits,visit,visiting,C,助動詞後接原形,"Did 出現後，動詞需回歸原形 visit。"
Regular_Verb_Spelling,"I ___ my room yesterday morning.",clean,cleans,cleaned,cleaning,C,規則動詞過去式拼字,"clean 是規則動詞，直接加 ed 變成 cleaned。"
Wh_Question_Past,"What ___ you eat for lunch?",do,did,was,were,B,過去式疑問句助動詞,"過去式的疑問句需使用助動詞 did。"
Irregular_Verb,"We ___ a song at the party.",sing,sings,singed,sang,D,不規則過去式,"sing 的過去式是不規則變化 sang。"
Past_Simple_Time,"They moved to Taipei three years ___.",before,ago,last,yesterday,B,過去式時間副詞搭配,"表示「一段時間前」使用 ago。"
Be_Verb_Past_Negative,"I ___ at the library yesterday.",am not,don't,wasn't,weren't,C,Be動詞過去式否定,"主詞 I 的 Be 動詞過去式否定為 wasn't。"
Irregular_Verb,"She ___ her keys this morning.",lose,loses,losed,lost,D,不規則過去式,"lose 的過去式是不規則變化 lost。"
Regular_Verb_Spelling,"The baby ___ all night.",cry,crys,cried,crying,C,子音加y去y加ied,"cry 字尾為子音+y，需去 y 加 ied 變成 cried。"
Yes_No_Question_Past,"___ she like the gift?",Do,Does,Did,Was,C,過去式疑問句,"過去式一般動詞的疑問句需用 Did 開頭。"
Past_Simple_Time,"I saw him ___ week.",last,ago,yesterday,before,A,過去式時間副詞搭配,"表示「上個星期」使用 last week。"
Irregular_Verb,"He ___ up late today.",wake,wakes,waked,woke,D,不規則過去式,"wake 的過去式是不規則變化 woke。"
Past_Simple_Negative,"We ___ have time to finish it.",don't,didn't,doesn't,aren't,B,過去式否定,"過去式的否定使用 didn't。"
Auxiliary_Verb_Return,"Did you ___ the news?",heard,hears,hear,hearing,C,助動詞後接原形,"助動詞 Did 後接原形動詞 hear。"
Be_Verb_Past_Plural,"The students ___ excited about the trip.",is,are,was,were,D,Be動詞過去式複數,"The students 是複數，過去式使用 were。"
Irregular_Verb,"I ___ an apple yesterday.",eat,eats,eated,ate,D,不規則過去式,"eat 的過去式是不規則變化 ate。"
Past_Simple_Usage,"They ___ to music yesterday evening.",listen,listens,listened,listening,C,規則動詞過去式,"listen 是規則動詞，直接加 ed 變成 listened。"
Irregular_Verb,"She ___ me a story.",tell,tells,telled,told,D,不規則過去式,"tell 的過去式是不規則變化 told。"
