GrammarPoint,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,DistractorLogic,Explanation
WHQA_How_Quantity,"___ apples do you want? Three, please.",How much,How many,How long,How often,B,How many 接可數複數,apples 是可數複數，問「多少個」用 How many + 複數名詞。How much 用於不可數或價錢。
WHQA_How_Quantity,"___ water do you need for the soup? Just a little.",How many,How much,How long,How far,B,How much 接不可數名詞,water 不可數，問「多少（量）」用 How much + 不可數名詞 + do/does …。How many 只用於可數複數。
WHQA_How_Quantity,"___ is this dictionary? It's 350 dollars.",How many,How much,How long,How old,B,How much 問價錢,答 350 dollars 是價錢，問 How much is this …? How many 問可數個數；How old 問年齡；How long 問時間。
WHQA_How_Quantity,"How many ___ do you see on the table?",book,books,water,money,B,How many 後必須複數可數,How many 後接「可數名詞複數」books。book 單數；water／money 不可數應用 How much。
WHQA_How_Quantity,"___ rice do we need? Two cups.",How many,How much,How often,How far,B,How much 與 How many 互選,rice 不可數，用 How much rice …? How many 只用於可數複數名詞。
WHQA_How_Quantity,"How much time do we have? ___ minutes.",Ten,Tens,Tenth,At ten,A,How much time 答數量,How much time 中 time 當不可數／抽象量，答 Ten minutes。Tens／Tenth 形式錯誤。
WHQA_How_Quantity,"___ students are in your class? Twenty-five.",How much,How many,How long,How old,B,How many 問可數人數,students 可數複數，用 How many students …? How much 用於不可數；How old 問年齡。
WHQA_How_Quantity,"How many pens ___ you need? Just one.",do,does,is,are,B,How many + 複數 + does/do,主詞 you 用 do：How many pens do you need? does 用於 he/she/it；is/are 用於 Be 問句（如 How much is …）。
WHQA_How_Quantity,"___ milk do you drink every day? About two glasses.",How many,How much,How long,How far,B,不可數用 How much,milk 不可數，用 How much milk do you …? How many 只用於可數複數。
WHQA_How_Quantity,"How many ___ are there in the basket?",egg,eggs,bread,sugar,B,How many + 複數,eggs 可數複數。egg 單數；bread／sugar 不可數用 How much。
WHQA_How_Quantity,"___ are these shoes? They are 2,000 NT dollars.",How many,How much,How long,How often,B,How much 問價錢,these shoes 的價錢用 How much are these shoes? How many 問數量個數。
WHQA_How_Quantity,"How much ___ does he eat for lunch?",food,foods,apples,cookies,A,不可數 food,food 通常不可數，How much food …? foods 較少用；apples／cookies 用 How many。
