可出題位置,Question_Type,問題一,選項A,選項B,選項C,選項D
"Complete the Words：手冊載明為 short paragraph，須完成 10 個字（見 Lesson 1 Answer Key Part 2）",Complete the Words,"For a Complete the Words task, you will have to complete ___ words.",10,5,3,7
"Read in Daily Life Passage：手冊載明 15- to 150-word text，最多 3 題（見 Lesson 1 Answer Key Part 2）",Read in Daily Life Passage,"For a Read in Daily Life Passage task, you will have to answer up to ___ questions.",3,5,10,2
"Read an Academic Passage：手冊載明約 200 words、expository text，最多 5 題（見 Lesson 1 Answer Key Part 2）",Read an Academic Passage,"For a Read an Academic Passage task, you will have to answer up to ___ questions.",5,3,10,7
"Lesson 1 Part 4 sample Daily Life Passage（鏡子實驗短文）之第一句（手冊未印出四選項；下列為依該句文意之示意選項）",Guessing the meanings of words in context,"A test question asks you what the word ""milestone"" in the first sentence is closest in meaning to.",a key developmental point reached at a particular time,a physical mirror used in laboratories,the age of eighteen months only,a colored mark placed on an animal
"Lesson 1 Part 4 sample Daily Life Passage（鏡子測試段落之直接陳述）（手冊未印出四選項；下列為依該段文意之示意選項）",Scanning texts for specific information,A test question asks you why scientists put colored marks on animals' bodies.,To use the mirror test: if an animal tried to remove the mark on its own body scientists knew it recognized its reflection.,To measure how heavy the animals were.,To prepare animals for release into the wild.,To change the color of the mirror.
Lesson 4 Part 6 Course Syllabus 全文（辨識文本功能）,Identifying main ideas,What is the purpose of this text?,To introduce the professor's interests,To present a course plan,To explain an assignment,To compare early civilizations
"Lesson 4 Part 6 Course Description 第一段（手冊原題僅列 A–C；D 為補齊四欄之干擾項，取自同頁 syllabus 細節但非段旨）",Identifying main ideas,"Read paragraph 1 of the Course Description again. What is the most important idea of the paragraph?",The importance of farming in the first human communities,Why the first farmers settled near rivers,"What students will learn in the class and a brief introduction to the role of agriculture in the emergence of human communities",The professor's office hours on Monday and Wednesday
Lesson 5 Part 5 TOEFL TIP example paragraph（直接陳述細節）,Factual Information Questions,"According to the passage, Alexander the Great did which of the following?",He regulated the movement and resettlement in Southwest Asia of thousands of Greek people.,He opened up opportunities in new markets for traders and artisans.,He implemented new restrictions on trade.,He encouraged Greek citizens to choose military careers over careers in trade.
Lesson 5 Part 6–7 Popular Academic Majors 全文（Computer Science 段）,Factual Information Questions,"According to the passage, which of the following is true about the computer science program?",Students can take any course they are interested in.,Most graduates choose to pursue a higher degree.,Some graduates do not work in the field of computer science.,Course choices are very limited.
Lesson 5 Part 6–7 Popular Academic Majors 全文（Graphic Design 段；field 一詞）,Guessing the meanings of words in context,"The word ""field"" in paragraph 4 refers to",a plot of land,an area of interest,a course,a sports ground
Lesson 5 Part 6–7 Popular Academic Majors 全文（篇旨）,Identifying main ideas,What is the purpose of this text?,To describe why some majors are popular,To present a course plan,To explain several assignments,To introduce possible majors and related jobs
"Lesson 5 TOEFL TIP：Negative Factual Information Questions（題幹型式依手冊說明；選項改寫自 Part 7 判斷題與原文，使三真一偽）",Negative Factual Information Questions,"According to the passage, all of the following are true EXCEPT:",The psychology program combines classroom-based learning and work opportunities.,Most computer science students get a job right after graduation.,The accounting program takes less time to complete than other programs.,Graphic design courses might include 2D and 3D design.
