GrammarPoint,TargetSentence,ScrambledParts,DistractorParts,CapitalizationHint,PunctuationHint,Explanation
Affirmative_Sentence,"I went to the zoo yesterday.","I|went|to|the|zoo|yesterday.","go|is",TRUE,TRUE,"主詞 I 搭配過去式動詞 went，時間副詞 yesterday 放句尾。"
Be_Verb_Past,"She was happy last night.","She|was|happy|last|night.","is|were",TRUE,TRUE,"第三人稱單數 She 搭配 Be 動詞過去式 was。"
Negative_Sentence,"He didn't eat breakfast.","He|didn't|eat|breakfast.","doesn't|ate",TRUE,TRUE,"過去式否定使用 didn't，後方動詞 eat 必須回歸原形。"
Regular_Verb_Spelling,"They played soccer after school.","They|played|soccer|after|school.","play|playing",TRUE,TRUE,"主詞 They 搭配規則過去式動詞 played。"
Yes_No_Question,"Did you finish your homework?","Did|you|finish|your|homework|?","Do|finished",TRUE,FALSE,"過去式疑問句將 Did 移至句首，後方動詞 finish 回歸原形。"
Irregular_Verb,"We saw a bird in the tree.","We|saw|a|bird|in|the|tree.","see|seen",TRUE,TRUE,"see 的過去式是不規則變化 saw。"
Wh_Question,"Where did she go?","Where|did|she|go|?","does|went",TRUE,FALSE,"疑問詞 Where 放句首，接著放助動詞 did，再放主詞與原形動詞。"
Negative_Be_Verb,"They weren't at home.","They|weren't|at|home.","wasn't|aren't",TRUE,TRUE,"主詞 They 搭配 Be 動詞過去式的否定 weren't。"
Time_Expression_Ago,"I met him two years ago.","I|met|him|two|years|ago.","meet|before",TRUE,TRUE,"meet 過去式為 met，two years ago (兩年前) 放句尾。"
Affirmative_Sentence,"The train arrived at 10 PM.","The|train|arrived|at|10|PM.","arrive|is",TRUE,TRUE,"arrive 規則過去式為 arrived，加在主詞 The train 之後。"
Affirmative_Sentence,"She wrote a letter.","She|wrote|a|letter.","writes|is",TRUE,TRUE,"write 過去式為 wrote。"
Be_Verb_Past,"The weather was bad.","The|weather|was|bad.","is|were",TRUE,TRUE,"The weather 為單數，搭配 was。"
Negative_Sentence,"I didn't watch TV.","I|didn't|watch|TV.","don't|watched",TRUE,TRUE,"過去式否定用 didn't，後接原形動詞 watch。"
Yes_No_Question,"Did they visit the museum?","Did|they|visit|the|museum|?","Do|visited",TRUE,FALSE,"過去式疑問句用 Did 開頭，動詞回歸原形。"
Regular_Verb_Spelling,"He cleaned his room.","He|cleaned|his|room.","clean|cleans",TRUE,TRUE,"主詞 He 搭配規則過去式 cleaned。"
Wh_Question,"What did you eat?","What|did|you|eat|?","do|ate",TRUE,FALSE,"疑問詞 What 放句首，接著放 did 和主詞、原形動詞。"
Irregular_Verb,"We sang a song.","We|sang|a|song.","sing|singed",TRUE,TRUE,"sing 過去式為 sang。"
Time_Expression_Ago,"She left an hour ago.","She|left|an|hour|ago.","leaves|before",TRUE,TRUE,"時間副詞 an hour ago 放句尾。"
Negative_Be_Verb,"He wasn't at school.","He|wasn't|at|school.","isn't|weren't",TRUE,TRUE,"主詞 He 搭配過去式否定 wasn't。"
Irregular_Verb,"I lost my keys.","I|lost|my|keys.","lose|loses",TRUE,TRUE,"lose 過去式為 lost。"
Regular_Verb_Spelling,"The baby cried loudly.","The|baby|cried|loudly.","cry|cries",TRUE,TRUE,"cry 過去式為 cried。"
Yes_No_Question,"Did she like it?","Did|she|like|it|?","Does|liked",TRUE,FALSE,"疑問句用 Did 開頭，動詞為原形 like。"
Time_Expression_Last,"We went there last week.","We|went|there|last|week.","go|ago",TRUE,TRUE,"過去時間 last week 放句尾。"
Irregular_Verb,"He woke up early.","He|woke|up|early.","wake|wakes",TRUE,TRUE,"wake 過去式為 woke。"
Negative_Sentence,"They didn't have time.","They|didn't|have|time.","don't|had",TRUE,TRUE,"否定用 didn't 加原形動詞 have。"
Yes_No_Question,"Did you hear that?","Did|you|hear|that|?","Do|heard",TRUE,FALSE,"疑問句用 Did 開頭，動詞為原形 hear。"
Be_Verb_Past_Plural,"The books were on the table.","The|books|were|on|the|table.","was|are",TRUE,TRUE,"The books 是複數，搭配 were。"
Irregular_Verb,"She ate an apple.","She|ate|an|apple.","eat|eats",TRUE,TRUE,"eat 過去式為 ate。"
Regular_Verb_Spelling,"I listened to music.","I|listened|to|music.","listen|listens",TRUE,TRUE,"listen 過去式為 listened。"
Irregular_Verb,"He told me the truth.","He|told|me|the|truth.","tell|tells",TRUE,TRUE,"tell 過去式為 told。"
