Question_ID,Paragraph,Type,Command_En,Command_Zh
S01,1,STAR,Pretend to shiver because it is very cold outside!,假裝因為外面很冷而發抖！
S02,1,STAR,Say 'Tell me a story, Uncle!' loudly.,"大聲地說 'Tell me a story, Uncle!'"
S01_4,1,STAR,Pretend to explore a dark forest!,假裝在探索一個黑暗的森林！
S01_5,1,STAR,Look around excitedly like you found a cave!,興奮地四處看，就像你找到了一個山洞！
S03,2,STAR,Pretend to dig in the field with a shovel.,假裝拿著鏟子在田裡挖土。
S04,2,STAR,Make an angry face like Ben's older brothers.,做一個像 Ben 哥哥們一樣生氣的表情。
S02_4,2,STAR,Whisper softly like a small dragon!,像小龍一樣輕聲低語！
S02_5,2,STAR,Pretend to tie a bandage on a hurt wing!,假裝在受傷的翅膀上綁繃帶！
S05,3,STAR,Look up and pretend to catch a falling book!,抬頭看，假裝接住一本掉下來的書！
S06,3,STAR,Laugh and laugh because you feel so lucky!,因為覺得自己太幸運了，開心地大笑起來！
S07,4,STAR,Pretend to drink a cup of hot chocolate.,假裝喝一杯熱可可。
S08,4,STAR,Say 'Where is our dinner?' with an angry voice.,用生氣的聲音說 'Where is our dinner?'
S09,5,STAR,Pretend to fight over a silver cup.,假裝在搶奪一個銀杯子。
S10,5,STAR,Look shocked because everything disappeared!,露出非常震驚的表情，因為所有的東西都消失了！
S11,6,STAR,Pretend to write a story in a book.,假裝在書上寫故事。
S12,6,STAR,Smile and say 'Perhaps it was Ben.',微笑著說 'Perhaps it was Ben.'
