GrammarPoint,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,DistractorLogic,Explanation
Future_Simple_Will,"I ___ go to Japan next year.",will,am,going to,will to,A,will的用法,"表示未來的計畫，使用助動詞 will 接原形動詞。"
Future_Simple_BeGoingTo,"She ___ visit her uncle tomorrow.",is going to,will going to,going to,is going,A,be going to的用法,"表示預定的計畫，主詞 She 搭配 is going to 接原形動詞。"
Will_Negative,"They ___ come to the party tonight.",won't,don't,aren't,doesn't,A,will的否定,"will 的否定縮寫為 won't。"
BeGoingTo_Negative,"We ___ play baseball this afternoon.",aren't going to,don't going to,isn't going to,not going to,A,be going to的否定,"主詞 We 的 be 動詞為 are，否定為 aren't going to。"
Will_Question,"___ you help me with this box?",Do,Are,Will,Does,C,will疑問句,"請求幫忙或詢問未來意願，句首使用 Will。"
Auxiliary_Verb_Return,"He will ___ a new computer.",buys,buying,bought,buy,D,助動詞後接原形,"助動詞 will 後方的動詞必須是原形 buy。"
Be_Going_To_Question,"___ they going to watch a movie?",Do,Are,Will,Were,B,be going to疑問句,"主詞 they 搭配 Be 動詞 Are 放句首形成疑問句。"
Future_Time_Expression,"I will call you ___.",yesterday,last night,tomorrow,ago,C,未來時間副詞,"will 用於未來式，搭配未來時間副詞 tomorrow。"
Will_vs_BeGoingTo,"Look at those dark clouds! It ___ rain.",will,is going to,going to,raining,B,根據證據的預測,"根據眼前的跡象 (黑雲) 預測即將發生的事，通常用 is going to。"
Be_Verb_Future,"I ___ be 15 years old next month.",am,will,am going,is,B,未來的狀態,"表示未來必然會發生的事實 (長大)，使用 will 加上原形 be。"
Future_Simple_Will,"I ___ open the window for you.",will,am,going to,will to,A,will表示意願,"當下決定的意願或提議，使用 will。"
Future_Simple_BeGoingTo,"They ___ buy a new house next year.",are going to,will going to,going to,is going,A,be going to表示計畫,"預定的計畫，主詞 They 搭配 are going to。"
Will_Negative,"She ___ be late for the meeting.",won't,isn't,doesn't,don't,A,will的否定,"will 的否定縮寫為 won't。"
BeGoingTo_Negative,"He ___ play video games tonight.",isn't going to,doesn't going to,not going to,aren't going to,A,be going to否定,"主詞 He 的 be 動詞為 is，否定為 isn't going to。"
Will_Question,"___ it rain tomorrow?",Does,Is,Will,Do,C,will疑問句預測,"對未來的預測，將 Will 移至句首。"
Auxiliary_Verb_Return,"We will ___ our grandparents.",visiting,visited,visits,visit,D,助動詞後接原形,"will 之後必須接原形動詞 visit。"
Be_Going_To_Question,"___ she going to study abroad?",Do,Is,Will,Does,B,be going to疑問句,"主詞 she 搭配 Be 動詞 Is 放句首。"
Future_Time_Expression,"They are going to arrive ___.",yesterday,last night,next week,ago,C,未來時間副詞,"未來式需搭配未來時間副詞 next week。"
Will_vs_BeGoingTo,"Watch out! You ___ drop the glasses.",will,are going to,going to,dropping,B,根據證據預測,"根據眼前的跡象警告，通常用 are going to。"
Be_Verb_Future,"The exam ___ be difficult.",is,will,am going,are,B,未來的狀態,"預測未來的狀態，使用 will + be。"
Future_Simple_Will,"We ___ win the game!",will,are,will to,going to,A,will表示堅定,"表達強烈的信念或承諾，使用 will。"
Future_Simple_BeGoingTo,"I ___ start a diet on Monday.",am going to,will going to,going to,am going,A,be going to表示計畫,"自己的預定計畫，搭配 am going to。"
Will_Negative,"I promise I ___ tell anyone.",won't,don't,am not,didn't,A,承諾用will,"給予承諾時，否定使用 won't。"
BeGoingTo_Negative,"They ___ watch TV this evening.",aren't going to,don't going to,isn't going to,not going to,A,be going to否定,"主詞 They 搭配 aren't going to。"
Will_Question,"___ you marry me?",Do,Are,Will,Did,C,will詢問意願,"詢問對方的意願，使用 Will you..."
Auxiliary_Verb_Return,"She will ___ a doctor.",becomes,became,become,becoming,C,助動詞後接原形,"will 後接原形動詞 become。"
Be_Going_To_Question,"___ you going to eat that?",Are,Do,Will,Is,A,be going to疑問句,"主詞 you 搭配 Are 放句首。"
Future_Time_Expression,"I will see you ___.",yesterday,last night,later,before,C,未來時間副詞,"later 可用於表示稍後、未來。"
Will_vs_BeGoingTo,"I think it ___ snow.",is going to,will,going to,snows,B,主觀預測,"搭配 I think 等主觀認為，常使用 will。"
Be_Verb_Future,"They ___ be here soon.",are,will,is going,is,B,未來的狀態,"表示不久後將發生的狀態，使用 will + be。"
