Question_ID,Paragraph,Type,Question_Text,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,,
Q01,1,MC,Where does the story happen?,At a school,At the beach,In a city park,At a hospital,At the beach,Paragraph 1 says 'Emma walked down to the beach and sat on the sand.',,
Q02,1,MC,Who is Emma with on holiday?,Her friends,Her parents,Her teacher,Her sister,Her parents,Paragraph 1 says 'Emma was on holiday with her parents.',,
Q03,1,MC,Why was Emma bored at the swimming pool?,There were too many people,The water was cold,She couldn't swim,It was raining,There were too many people,Paragraph 1 says 'There were too many people in the swimming pool.',,
Q04,1,MC,What did Emma's mum and dad want to do?,Play tennis,Swim in the pool,Sit in the sun,Look for treasure,Sit in the sun,Paragraph 1 says 'her mum and dad just wanted to sit in the sun.',,
Q05,1,MC,What hit Emma on the head?,A book,A tennis ball,A beach ball,A shell,A beach ball,Paragraph 1 says 'Then something hit her on the head. It was a beach ball.',,
Q06,1,MC,Who is the little boy?,Emma's brother,A boy who is six or seven,A lifeguard,Emma's friend,A boy who is six or seven,Paragraph 1 says 'He was only about six or seven.',,
Q07,1,MC,Which sentence is NOT true about Emma in paragraph 1?,She wanted to play tennis.,She was on holiday.,She was very happy.,She sat on the sand.,She was very happy.,The text says Emma was bored and unhappy.,,
Q08,1,MC,How does Emma probably feel when the ball hits her?,Excited,Happy,Annoyed,Scared,Annoyed,She thought it was a boring day and wanted the boy to go away.,,
Q09,1,MC,What did the little boy say when the ball hit Emma?,Hello!,Sorry!,Watch out!,Catch!,Sorry!,Paragraph 1 says ''Sorry!' a little boy said.',,
Q10,1,MC,Why did the little boy talk to Emma?,Because she looked unhappy,Because he wanted to play tennis,Because he lost his parents,Because he was hungry,Because she looked unhappy,Paragraph 1 says 'But you look unhappy. What's the matter?',,
Q11,2,MC,What did the little boy want to do?,Play tennis,Look for treasure,Go swimming,Build a sandcastle,Look for treasure,Paragraph 2 says ''We could look for treasure,' the little boy said.',
Q12,2,MC,Where are the little boy's parents?,At the hotel,By the island,In the pool,On the beach,By the island,Paragraph 2 says 'They're out there by the island.',,
