GrammarPoint,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,DistractorLogic,Explanation
Present_Continuous_Usage,"I ___ a book right now.",am reading,read,reading,are reading,A,現在進行式動詞結構,"right now 表示正在進行的動作，主詞 I 搭配 am + V-ing。"
Present_Continuous_BeVerb,"They ___ playing soccer in the park.",is,are,am,be,B,現在進行式Be動詞,"主詞 They 為複數，搭配的 Be 動詞是 are。"
Present_Continuous_Negative,"She ___ sleeping at the moment.",isn't,aren't,don't,doesn't,A,現在進行式否定,"現在進行式的否定在 Be 動詞後加 not，主詞 She 搭配 isn't。"
Present_Continuous_Spelling,"The boy is ___ in the pool.",swim,swims,swimming,swiming,C,V-ing拼字規則,"swim 為單音節且母音加子音結尾，需重複字尾 m 再加 ing。"
Present_Continuous_Spelling_E,"We are ___ a cake for dinner.",make,makes,makeing,making,D,V-ing去e加ing,"make 字尾有不發音的 e，需去 e 再加 ing。"
Yes_No_Question_Continuous,"___ you listening to me?",Do,Are,Is,Am,B,進行式疑問句,"進行式疑問句將 Be 動詞移至句首，主詞 you 搭配 Are。"
Wh_Question_Continuous,"What is he ___?",do,does,doing,did,C,進行式疑問句動詞,"進行式疑問句仍需保持 V-ing 的形式 doing。"
Present_Continuous_Time,"Look! The bus ___.",come,comes,is coming,are coming,C,根據提示字判斷時態,"Look! (看！) 提示動作正在發生，主詞 The bus 搭配 is coming。"
Non_Continuous_Verbs,"I ___ this pizza very much.",am loving,loves,love,are loving,C,狀態動詞不加ing,"love 是表達狀態或情感的動詞，通常不使用進行式，應使用現在簡單式 love。"
Present_Continuous_Usage,"My mom ___ cooking in the kitchen.",is,are,am,does,A,現在進行式Be動詞,"主詞 My mom 為第三人稱單數，搭配的 Be 動詞是 is。"
Present_Continuous_Usage,"He ___ a letter right now.",is writing,writes,writing,are writing,A,現在進行式結構,"right now 提示正在進行，主詞 He 搭配 is + V-ing。"
Present_Continuous_BeVerb,"We ___ watching a movie in the living room.",is,are,am,be,B,現在進行式Be動詞,"主詞 We 為複數，搭配的 Be 動詞是 are。"
Present_Continuous_Negative,"I ___ playing a game at the moment.",isn't,aren't,am not,don't,C,現在進行式否定,"主詞 I 的否定是 am not。"
Present_Continuous_Spelling,"She is ___ on the chair.",sit,sits,sitting,siting,C,V-ing重複字尾,"sit 為單音節子音結尾，需重複 t 再加 ing。"
Present_Continuous_Spelling_E,"They are ___ pictures in the park.",take,takes,takeing,taking,D,V-ing去e加ing,"take 去 e 加 ing 變成 taking。"
Yes_No_Question_Continuous,"___ he sleeping in his bedroom?",Do,Are,Is,Am,C,進行式疑問句,"主詞 he 搭配 Be 動詞 Is 放句首。"
Wh_Question_Continuous,"Why are you ___?",cry,cries,crying,cried,C,進行式疑問句動詞,"進行式動詞保持 V-ing 的形式 crying。"
Present_Continuous_Time,"Listen! Someone ___.",sing,sings,is singing,are singing,C,根據提示字判斷,"Listen! 提示動作正在發生，主詞 Someone 視為單數用 is singing。"
Non_Continuous_Verbs,"She ___ the answer.",is knowing,knows,know,are knowing,B,狀態動詞不加ing,"know 是狀態動詞，通常不使用進行式，第三人稱單數加 s 變 knows。"
Present_Continuous_Usage,"The cats ___ running around the yard.",is,are,am,does,B,現在進行式Be動詞,"主詞 The cats 為複數，搭配的 Be 動詞是 are。"
Present_Continuous_Usage,"I ___ studying for my test now.",am,is,are,do,A,現在進行式Be動詞,"主詞 I 搭配的 Be 動詞是 am。"
Present_Continuous_Negative,"The teacher ___ smiling today.",isn't,aren't,am not,doesn't,A,現在進行式否定,"The teacher 為單數，否定為 isn't。"
Present_Continuous_Spelling,"He is ___ along the river.",run,runs,running,runing,C,V-ing重複字尾,"run 需重複字尾 n 再加 ing 變成 running。"
Present_Continuous_Spelling_E,"We are ___ a bike.",ride,rides,rideing,riding,D,V-ing去e加ing,"ride 去 e 加 ing 變成 riding。"
Yes_No_Question_Continuous,"___ they coming to the party?",Do,Are,Is,Am,B,進行式疑問句,"主詞 they 搭配 Be 動詞 Are 放句首。"
Wh_Question_Continuous,"Where is she ___?",go,goes,going,went,C,進行式疑問句動詞,"動詞保持 V-ing 的形式 going。"
Present_Continuous_Time,"Look! The baby ___.",walk,walks,is walking,are walking,C,根據提示字判斷,"Look! 提示動作正在發生，主詞 The baby 用 is walking。"
Non_Continuous_Verbs,"I ___ an apple now.",am wanting,wants,want,are wanting,C,狀態動詞不加ing,"want 是狀態動詞，通常不使用進行式，使用 want。"
Present_Continuous_Usage,"The sun ___ shining brightly today.",is,are,am,does,A,現在進行式Be動詞,"主詞 The sun 為單數，搭配 is。"
Present_Continuous_Negative,"We ___ talking right now.",isn't,aren't,don't,doesn't,B,現在進行式否定,"主詞 We 搭配 aren't。"
