Word,POS,Definition,Synonym-English 1,Synonym-Chinnese 1,Antonym-English 1,Antonym-Chinese 1,Synonym-English 2,Synonym-Chinese 2,Antonym-English 2,Antonym-Chinese 2,Phrase,Example-English 1,Example-Chinnese 1,Example-English 2,Example-Chinnese 2,Example-English 3,Example-Chinnese 3,Ex3-Pattern,Ex3-Tense,CEFR,Para
friendly,adj,kind and helpful,kind,親切的,hostile,敵對的,nice,好的,mean,刻薄的,friendly boy,The friendly boy shared his cookies with the new student.,那個友善的男孩和新學生分享他的餅乾。,Everyone likes him because he is a very friendly boy who always smiles.,大家都喜歡他，因為他是一個總是微笑的非常友善的男孩。,The friendly boy helped the old lady today.,那位友善的男孩今天幫了老太太。,S + V + O,過去式,A1,1
front,adj + n,the part that is ahead,ahead,在前面,back,後面的,forward,向前的,rear,後部的,in front of,The teacher stands in front of the blackboard to teach the class.,老師站在黑板前面教課。,Please park your car in front of the supermarket.,請把你的車停在超市前面。,There is a garden in front of my house.,我家前面有一個美麗的花園。,There is/are…,現在簡單式,A1,1
decide,v,to make a choice,choose,選擇,hesitate,猶豫,determine,決定,delay,延遲,decide to,I cannot decide to wear the red shirt or the blue shirt.,我無法決定要穿紅襯衫還是藍襯衫。,They decide to go to the zoo to see the monkeys.,他們決定去動物園看猴子。,We must decide to start the art project today.,我們必須決定今天開始美術專案。,can / must + V,現在簡單式,A1,2
interested,adj,wanting to know about something,curious,好奇的,bored,無聊的,keen,熱衷的,tired,厭倦的,interested in,He is very interested in outer space and wants to be an astronaut.,他對外太空非常感興趣，並想成為一名太空人。,My sister is interested in learning how to play the guitar.,我妹妹對學習彈吉他感興趣。,I am interested in the school basketball team.,我對學校籃球隊有興趣。,片語,現在簡單式,A1,2
interesting,adj,keeping your attention,fun,有趣的,boring,無聊的,exciting,令人興奮的,dull,乏味的,interesting story,The grandfather told an interesting story about a brave knight and a dragon.,祖父講了一個關於勇敢騎士和龍的有趣故事。,I read an interesting story in the comic book yesterday.,我昨天在漫畫書裡讀到一個有趣的故事。,My brother told an interesting story last night.,我哥哥昨晚講了一個有趣的故事。,S + V + O,過去式,A1,2
explore,v,to travel around a new place,search,搜尋,ignore,忽視,discover,發現,,,explore the pool,The children put on their swimsuits to explore the pool in the backyard.,孩子們穿上泳衣，去探索後院的水池。,We can use a flashlight to explore the pool at night.,我們可以用手電筒在晚上探索這個水池。,The frog jumped in to explore the pool.,青蛙跳進水裡探索這個水池。,S + V + to + V,過去式,A1,3
fork,n,a tool used for eating food,tool,工具,spoon,湯匙,cutlery,餐具,knife,刀子,with a fork,"It is polite to eat your spaghetti with a fork, not with your hands.",用叉子吃義大利麵是有禮貌的，不要用手。,She picked up the piece of cake with a fork.,她用叉子叉起那塊蛋糕。,Please eat your salad with a fork today.,今天請用叉子吃沙拉。,片語,現在簡單式,A1,3
full,adj,holding as much as possible,filled,裝滿的,empty,空的,packed,擁擠的,blank,空白的,full of,The treasure chest is full of shiny gold coins and diamonds.,寶藏箱裡裝滿了閃亮的金幣和鑽石。,The classroom is full of noisy students waiting for the bell to ring.,教室裡擠滿了吵鬧的學生，等著鐘聲響起。,After rain the bucket is full of water.,大雨後，水桶裡裝滿了水。,S + be + adj,現在簡單式,A1,3
glove,n,something you wear to cover your hand,cover,覆蓋物,sock,襪子,mitten,連指手套,shoe,鞋子,wet glove,I took off my wet glove after playing in the snow for an hour.,在雪地裡玩了一小時後，我脫下了濕手套。,Do not touch the clean clothes with your wet glove.,不要用你的濕手套碰乾淨的衣服。,He put his wet glove near the heater.,他把濕手套放在暖氣機旁邊。,S + V + O,過去式,A1,3
whisper,v,to speak very quietly,murmur,低語,shout,呼喊,無,無,yell,大叫,whisper to,You must whisper to your friend in the library so you do not make loud noises.,你必須在圖書館裡對朋友低語，這樣才不會發出很大的噪音。,The spy had to whisper to his partner to keep the secret safe.,間諜必須對他的夥伴低語，以確保秘密安全。,You must whisper to your friend in class.,上課時你必須對朋友低語。,can / must + V,現在簡單式,A2,3
